FOV,Round,Channel,Spot Count
FOV,Round,Channel,Spot Count
X15_Y14,1,Atto_425,1088
X15_Y14,1,DAPI,247
X15_Y14,1,Alexa_488,168
X15_Y14,1,Alexa_568,391
X15_Y14,1,Alexa_647,867
X15_Y14,1,Atto_490LS,1003
X15_Y14,2,Atto_425,695
X15_Y14,2,DAPI,221
X15_Y14,2,Alexa_488,491
X15_Y14,2,Alexa_568,663
X15_Y14,2,Alexa_647,566
X15_Y14,2,Atto_490LS,830
X15_Y14,3,Atto_425,492
X15_Y14,3,DAPI,240
X15_Y14,3,Alexa_488,748
X15_Y14,3,Alexa_568,360
X15_Y14,3,Alexa_647,140
X15_Y14,3,Atto_490LS,783
X15_Y14,4,Atto_425,2285
X15_Y14,4,DAPI,208
X15_Y14,4,Alexa_488,270
X15_Y14,4,Alexa_568,899
X15_Y14,4,Alexa_647,185
X15_Y14,4,Atto_490LS,827
FOV,Round,Channel,Spot Count
X20_Y9,1,Atto_425,4531
X20_Y9,1,DAPI,255
X20_Y9,1,Alexa_488,845
X20_Y9,1,Alexa_568,325
X20_Y9,1,Alexa_647,479
X20_Y9,1,Atto_490LS,672
X20_Y9,2,Atto_425,573
X20_Y9,2,DAPI,225
X20_Y9,2,Alexa_488,495
X20_Y9,2,Alexa_568,476
X20_Y9,2,Alexa_647,902
X20_Y9,2,Atto_490LS,591
X20_Y9,3,Atto_425,432
X20_Y9,3,DAPI,225
X20_Y9,3,Alexa_488,541
X20_Y9,3,Alexa_568,195
X20_Y9,3,Alexa_647,481
X20_Y9,3,Atto_490LS,631
X20_Y9,4,Atto_425,3772
X20_Y9,4,DAPI,223
X20_Y9,4,Alexa_488,268
X20_Y9,4,Alexa_568,556
X20_Y9,4,Alexa_647,120
X20_Y9,4,Atto_490LS,625
FOV,Round,Channel,Spot Count
X10_Y2,1,Atto_425,1191
X10_Y2,1,DAPI,124
X10_Y2,1,Alexa_488,189
X10_Y2,1,Alexa_568,289
X10_Y2,1,Alexa_647,231
X10_Y2,1,Atto_490LS,326
X10_Y2,2,Atto_425,188
X10_Y2,2,DAPI,130
X10_Y2,2,Alexa_488,253
X10_Y2,2,Alexa_568,168
X10_Y2,2,Alexa_647,184
X10_Y2,2,Atto_490LS,342
X10_Y2,3,Atto_425,116
X10_Y2,3,DAPI,106
X10_Y2,3,Alexa_488,280
X10_Y2,3,Alexa_568,176
X10_Y2,3,Alexa_647,213
X10_Y2,3,Atto_490LS,334
X10_Y2,4,Atto_425,68
X10_Y2,4,DAPI,90
X10_Y2,4,Alexa_488,133
X10_Y2,4,Alexa_568,229
X10_Y2,4,Alexa_647,185
X10_Y2,4,Atto_490LS,327
FOV,Round,Channel,Spot Count
X13_Y3,1,Atto_425,749
X13_Y3,1,DAPI,271
X13_Y3,1,Alexa_488,769
X13_Y3,1,Alexa_568,433
X13_Y3,1,Alexa_647,537
X13_Y3,1,Atto_490LS,697
X13_Y3,2,Atto_425,557
X13_Y3,2,DAPI,283
X13_Y3,2,Alexa_488,404
X13_Y3,2,Alexa_568,447
X13_Y3,2,Alexa_647,1019
X13_Y3,2,Atto_490LS,672
X13_Y3,3,Atto_425,499
X13_Y3,3,DAPI,210
X13_Y3,3,Alexa_488,592
X13_Y3,3,Alexa_568,495
X13_Y3,3,Alexa_647,60
X13_Y3,3,Atto_490LS,681
X13_Y3,4,Atto_425,2896
X13_Y3,4,DAPI,249
X13_Y3,4,Alexa_488,168
X13_Y3,4,Alexa_568,626
X13_Y3,4,Alexa_647,142
X13_Y3,4,Atto_490LS,697
FOV,Round,Channel,Spot Count
X22_Y6,1,Atto_425,1456
X22_Y6,1,DAPI,277
X22_Y6,1,Alexa_488,754
X22_Y6,1,Alexa_568,417
